postcode,longitude,latitude
SW2 5RR,-0.119659,51.45897
HA1 1BH,-0.34129,51.580305
LS22 5NB,-1.375249,53.918174
G81 6LD,-4.4191,55.928183
NN17 5JG,-0.647474,52.502477
S66 2NR,-1.277008,53.424936
WD18 9DA,-0.431087,51.640341
CA3 8RR,-2.938614,54.896411
WD24 7NE,-0.384953,51.678634
G53 7YQ,-4.340451,55.79749
SL6 8BY,-0.711361,51.522098
OL15 9DP,-2.094748,53.64594
CH65 1AD,-2.919111,53.296615
SA4 0AA,-4.063761,51.714088
DE1 2BU,-1.46881,52.928626
LA23 2JJ,-2.915703,54.367591
NG2 4GB,-1.121719,52.951462
PE1 5XA,-0.21935,52.569089
BH4 8BT,-1.892887,50.71829
HP4 3EB,-0.588304,51.760356
SO51 6FU,-1.60347,51.009565
PL7 5JX,-4.023452,50.384681
EX4 3LQ,,
E17 6BU,-0.037347,51.590498
M3 4LZ,-2.254742,53.474461
EN6 5BS,-0.179694,51.692829
S18 7WG,-1.549775,53.282904
N1 7SR,-0.088088,51.529267
LL53 6DS,-4.478932,52.913865
BN22 0HR,0.256752,50.801458
EC3V 9DU,-0.086212,51.512816
HG2 8NF,-1.516423,53.986459
DE21 4BJ,-1.46636,52.928552
RH12 4HT,-0.303289,51.074915
BH25 5NR,-1.671583,50.753974
LS15 8ZB,-1.426439,53.796822
WC2A 1HR,-0.111767,51.516926
ME2 4BH,0.518142,51.389975
N11 1AP,-0.131828,51.617306
CT6 8TG,1.11702,51.371109
EC1Y 8JL,-0.093147,51.523165
NW10 7FX,-0.283421,51.532054
BL1 4QR,-2.441217,53.581985
PE2 6FY,-0.32136,52.555061
OL11 5BT,-2.173905,53.619704
OL12 6AA,-2.170977,53.617102
LL53 5HH,-4.416217,52.888553
BS21 7NL,-2.852349,51.436819
E16 2QT,0.041366,51.507706
CV6 4AD,-1.506214,52.434278
NG16 6NS,-1.314519,53.088468
M14 6YR,-2.21506,53.43873
N22 7TL,-0.114795,51.599322
N1 6DS,-0.086099,51.52892
SS1 1BH,0.712799,51.535693
PE2 6FT,-0.32548,52.551846
PL13 2HW,-4.462069,50.351354
SE1 0HS,-0.097623,51.504676
E3 4PZ,-0.026043,51.525451
BN22 9NS,0.276866,50.800059
SW1Y 4PE,-0.133302,51.508514
CA28 8YD,-3.550592,54.55208
B17 9JU,-1.949387,52.459742
AB24 5LT,-2.092019,57.154523
PL25 4TR,-4.787561,50.337615
M16 7QQ,-2.265051,53.457847
HX7 7DE,-2.013639,53.743419
TR10 8JB,-5.116161,50.174394
TN5 6QE,0.312306,51.083556
W1W 6DW,-0.139907,51.519624
CM6 1ZB,0.288597,51.872747
DY1 4RH,-2.071616,52.514695
LS13 4AW,-1.616065,53.804167
HA4 9HR,-0.391917,51.5651
LN1 3EW,-0.53989,53.238913
S9 1XA,-1.387325,53.404464
CF72 8NG,-3.327291,51.512605
B90 2QB,-1.826119,52.39888
AB25 2QT,-2.11408,57.152583
DY5 1QA,-2.122149,52.491942
NN14 1EW,-0.73543,52.365184
BN2 9QA,-0.135393,50.824943
SE15 6QZ,-0.08236,51.480982
CF11 9LJ,-3.191222,51.483907
CO1 1HF,0.898998,51.890368
EX15 2RL,-3.37152,50.884644
SY25 6EL,-3.873095,52.266536
EH10 5LZ,-3.211234,55.923953
TR7 1DX,-5.08078,50.414679
CH7 5HL,-3.194423,53.195551
TS17 6PF,-1.301497,54.555031
BR1 3PZ,0.012646,51.410199
BT78 1BZ,-7.30719,54.6021
SK7 5HY,-2.133378,53.375696
BN3 5FN,-0.183988,50.835009
SL1 3BX,-0.606752,51.51724
ML3 6JT,-4.043008,55.776727
GU47 8PJ,-0.797557,51.352324
NE3 2ER,-1.665757,55.008819
CB21 5DQ,0.209272,52.187302
DY10 1JR,-2.248876,52.372651
GU11 2DD,-0.749061,51.25665
BS16 6BQ,-2.502923,51.488931
BD18 4RU,-1.792094,53.834863
CF14 3AY,-3.203555,51.501567
KT13 8DE,-0.45981,51.372227
ME10 1DT,0.702195,51.344061
GU14 0NH,-0.768643,51.291471
FY8 1QG,-3.030631,53.750075
ST8 7BQ,-2.167644,53.106599
SE14 6QL,-0.030547,51.472848
W1T 6AD,-0.142321,51.523709
BL9 0ST,-2.300612,53.588515
GL19 3JZ,-2.352064,51.987816
B13 9JE,-1.870848,52.445313
RH6 9EN,-0.121732,51.17195
PL6 6BX,-4.117254,50.427637
B79 7RB,-1.70145,52.634976
LN6 3JZ,-0.592813,53.200593
CV7 9JE,-1.42091,52.44825
LS10 1JQ,-1.540877,53.793124
B25 8DX,-1.830292,52.464324
IP6 9SG,1.153491,52.165496
UB5 5DR,-0.371784,51.547485
L9 8AQ,-2.970339,53.462799
RH19 3AF,-0.007033,51.124096
S71 3BJ,-1.473471,53.579495
CA13 0RJ,-3.373421,54.654938
SW19 7JY,-0.204287,51.423121
SE20 7BS,-0.055984,51.417491
TF2 9NT,-2.425994,52.683309
CF37 5UR,-3.284705,51.568352
PE7 8FW,-0.280499,52.537346
B2 4AY,-1.901792,52.479167
W2 6DX,-0.181451,51.51559
KY11 8PB,-3.417508,56.047197
BB1 2QY,-2.459505,53.717917
CR8 1DD,-0.105106,51.335526
G2 4EN,-4.26206,55.865052
CB24 5AR,0.067444,52.315774
PE19 6HH,-0.254348,52.250766
E6 1AA,0.040295,51.53758
CM23 2LS,0.158063,51.87115
BS6 6LT,-2.61046,51.467787
NG9 5BE,-1.22716,52.918068
TQ1 4JJ,-3.533175,50.478592
BB9 7LE,-2.216702,53.836905
NG5 4DR,-1.140236,52.980678
B90 8BG,-1.796463,52.374044
FY8 2RG,-3.033727,53.764837
M50 1AY,-2.32252,53.483601
GX11 1AA,,
N22 6SE,-0.097586,51.594671
WC1H 9LG,-0.128987,51.5259
M27 5SN,-2.341786,53.505317
E16 2RD,0.063234,51.507567
M21 0TP,-2.265803,53.445675
CO1 1TG,0.895188,51.892833
B90 4PD,-1.808146,52.398348
CA8 1UR,-2.741267,54.942037
CF61 2SR,-3.483786,51.415006
IG1 1LQ,0.0939,51.559693
BD9 6DL,-1.802136,53.809498
WC1X 0ND,-0.117329,51.528157
SW3 2HP,-0.167443,51.494115
UB8 2SN,-0.492771,51.536621
PE9 2YL,-0.488463,52.654374
IP32 7AJ,0.724472,52.249717
CO10 9EZ,0.718167,52.073527
HX2 8HL,-1.888922,53.746685
BT2 8LA,-5.926102,54.595681
BT39 9BG,-6.00478,54.751327
HX7 6PJ,-2.039817,53.736258
FY4 5FS,-2.991258,53.786611
YO11 2RN,-0.404127,54.273262
M43 6PT,-2.155019,53.482156
M1 3BE,-2.234902,53.480469
GU15 3PQ,-0.74805,51.338767
SG1 3RZ,-0.196987,51.915613
PE3 6SR,-0.296548,52.569946
EH3 8EY,,
CM1 1HT,0.469213,51.736239
G2 4JR,-4.26894,55.865464
SW17 6AU,-0.150623,51.431262
RH11 8BS,-0.218834,51.112922
W1W 5QZ,-0.143105,51.521464
NG1 5BQ,-1.156579,52.95307
PH11 8BG,-3.222379,56.622142
WA4 6NU,-2.594096,53.368853
CM23 2DH,0.165685,51.869903
WD24 4LP,-0.384041,51.670361
BS3 5EN,-2.584013,51.436172
W1S 2FB,-0.143328,51.512421
CF44 6RE,-3.426216,51.701136
SO51 9AQ,-1.46287,50.98099
SN15 3RS,-2.076749,51.442915
LD8 2SQ,-3.079911,52.255374
SR2 7DX,-1.381891,54.899646
HA7 1BT,-0.298067,51.605132
IP28 8DS,0.458612,52.382222
